date,value
2023/1/1 12:00,WNW
2023/1/2 12:00,NW
2023/1/3 12:00,NW
2023/1/4 12:00,NW
2023/1/5 12:00,NNW
2023/1/6 12:00,NE
2023/1/7 12:00,NE
2023/1/8 12:00,NE
2023/1/9 12:00,SE
2023/1/10 12:00,NW
2023/1/11 12:00,ESE
2023/1/12 12:00,NNW
2023/1/13 12:00,NNW
2023/1/14 12:00,NNW
2023/1/15 12:00,E
2023/1/16 12:00,N
2023/1/17 12:00,NNW
2023/1/18 12:00,NNE
2023/1/19 12:00,NNE
2023/1/20 12:00,W
2023/1/21 12:00,NNW
2023/1/22 12:00,NE
2023/1/23 12:00,NW
2023/1/24 12:00,SSW
2023/1/25 12:00,WNW
2023/1/26 12:00,SW
2023/1/27 12:00,NE
2023/1/28 12:00,NNW
2023/1/29 12:00,SW
2023/1/30 12:00,SSE
2023/1/31 12:00,NW
2023/2/1 12:00,SSW
2023/2/2 12:00,NW
2023/2/3 12:00,NE
2023/2/4 12:00,SE
2023/2/5 12:00,SE
2023/2/6 12:00,W
2023/2/7 12:00,NNE
2023/2/8 12:00,NE
2023/2/9 12:00,NW
2023/2/10 12:00,NW
2023/2/11 12:00,N
2023/2/12 12:00,SSE
2023/2/13 12:00,NNW
2023/2/14 12:00,NNW
2023/2/15 12:00,N
2023/2/16 12:00,NNE
2023/2/17 12:00,NW
2023/2/18 12:00,SE
2023/2/19 12:00,NNW
2023/2/20 12:00,NW
2023/2/21 12:00,NW
2023/2/22 12:00,NE
2023/2/23 12:00,E
2023/2/24 12:00,N
2023/2/25 12:00,NW
2023/2/26 12:00,NW
2023/2/27 12:00,NNW
2023/2/28 12:00,S
2023/3/1 12:00,WSW
2023/3/2 12:00,ENE
2023/3/3 12:00,WNW
2023/3/4 12:00,NNE
2023/3/5 12:00,NNE
2023/3/6 12:00,N
2023/3/7 12:00,ESE
2023/3/8 12:00,SSE
2023/3/9 12:00,S
2023/3/10 12:00,NW
2023/3/11 12:00,S
2023/3/12 12:00,SSE
2023/3/13 12:00,S
2023/3/14 12:00,NE
2023/3/15 12:00,SE
2023/3/16 12:00,SE
2023/3/17 12:00,ENE
2023/3/18 12:00,NNE
2023/3/19 12:00,N
2023/3/20 12:00,SE
2023/3/21 12:00,SSE
2023/3/22 12:00,ESE
2023/3/23 12:00,E
